,bid,bid,bid,bid,ask,ask,ask,ask,last,last,last,last,last
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Volume
DateTime,,,,,,,,,,,,,
2023-03-08 06:51:00,32864.6,32865.6,32861.1,32862.1,32869.4,32870.4,32865.9,32866.9,,,,,8
2023-03-08 06:52:00,32862.6,32863.1,32858.6,32860.1,32867.4,32867.9,32863.4,32864.9,,,,,27
2023-03-08 06:53:00,32860.6,32863.6,32859.6,32863.1,32865.4,32868.4,32864.4,32867.9,,,,,4
2023-03-08 06:54:00,32862.6,32862.6,32860.1,32860.1,32867.4,32867.4,32864.9,32864.9,,,,,8
2023-03-08 06:55:00,32860.6,32862.6,32860.6,32862.1,32865.4,32867.4,32865.4,32866.9,,,,,17
2023-03-08 06:56:00,32862.6,32862.6,32860.1,32862.1,32867.4,32867.4,32864.9,32866.9,,,,,15
2023-03-08 06:57:00,32862.6,32865.6,32862.1,32862.1,32867.4,32870.4,32866.9,32866.9,,,,,18
2023-03-08 06:58:00,32862.6,32871.6,32862.6,32871.1,32867.4,32876.4,32867.4,32875.9,,,,,22
2023-03-08 06:59:00,32870.6,32871.1,32868.1,32869.1,32875.4,32875.9,32872.9,32873.9,,,,,11
2023-03-08 07:00:00,32869.7,32870.7,32865.7,32866.7,32873.3,32874.3,32869.3,32870.3,,,,,53
2023-03-08 07:01:00,32866.2,32870.2,32864.2,32865.7,32869.8,32873.8,32867.8,32869.3,,,,,37
2023-03-08 07:02:00,32866.2,32870.2,32864.7,32869.7,32869.8,32873.8,32868.3,32873.3,,,,,23
2023-03-08 07:03:00,32869.2,32869.7,32864.7,32864.7,32872.8,32873.3,32868.3,32868.3,,,,,10
2023-03-08 07:04:00,32865.2,32865.2,32860.2,32862.7,32868.8,32868.8,32863.8,32866.3,,,,,11
2023-03-08 07:05:00,32862.2,32862.7,32859.7,32860.7,32865.8,32866.3,32863.3,32864.3,,,,,27
2023-03-08 07:06:00,32860.2,32862.2,32858.7,32860.7,32863.8,32865.8,32862.3,32864.3,,,,,15
2023-03-08 07:07:00,32860.2,32861.7,32855.2,32856.7,32863.8,32865.3,32858.8,32860.3,,,,,34
2023-03-08 07:08:00,32856.2,32856.2,32852.2,32854.7,32859.8,32859.8,32855.8,32858.3,,,,,30
2023-03-08 07:09:00,32854.2,32854.7,32850.2,32851.7,32857.8,32858.3,32853.8,32855.3,,,,,27
2023-03-08 07:10:00,32851.2,32853.7,32850.2,32852.2,32854.8,32857.3,32853.8,32855.8,,,,,28
2023-03-08 07:11:00,32852.7,32853.7,32851.2,32851.7,32856.3,32857.3,32854.8,32855.3,,,,,27
2023-03-08 07:12:00,32851.2,32851.2,32846.7,32846.7,32854.8,32854.8,32850.3,32850.3,,,,,26
2023-03-08 07:13:00,32847.2,32853.7,32847.2,32852.2,32850.8,32857.3,32850.8,32855.8,,,,,16
2023-03-08 07:14:00,32851.2,32851.7,32847.2,32849.7,32854.8,32855.3,32850.8,32853.3,,,,,11
2023-03-08 07:15:00,32850.2,32850.2,32845.7,32846.2,32853.8,32853.8,32849.3,32849.8,,,,,31
2023-03-08 07:16:00,32846.7,32850.2,32846.2,32849.7,32850.3,32853.8,32849.8,32853.3,,,,,62
2023-03-08 07:17:00,32850.7,32857.7,32849.2,32857.7,32854.3,32861.3,32852.8,32861.3,,,,,26
2023-03-08 07:18:00,32857.2,32860.7,32855.7,32857.7,32860.8,32864.3,32859.3,32861.3,,,,,26
2023-03-08 07:19:00,32858.2,32858.7,32856.2,32857.7,32861.8,32862.3,32859.8,32861.3,,,,,8
2023-03-08 07:20:00,32858.2,32859.7,32856.7,32857.7,32861.8,32863.3,32860.3,32861.3,,,,,13
2023-03-08 07:21:00,32858.2,32858.7,32854.7,32856.7,32861.8,32862.3,32858.3,32860.3,,,,,20
2023-03-08 07:22:00,32857.2,32861.2,32857.2,32857.7,32860.8,32864.8,32860.8,32861.3,,,,,19
2023-03-08 07:23:00,32857.2,32858.7,32854.2,32855.2,32860.8,32862.3,32857.8,32858.8,,,,,14
2023-03-08 07:24:00,32854.7,32859.2,32854.2,32858.7,32858.3,32862.8,32857.8,32862.3,,,,,10
2023-03-08 07:25:00,32858.2,32861.2,32858.2,32860.7,32861.8,32864.8,32861.8,32864.3,,,,,12
2023-03-08 07:26:00,32860.2,32862.7,32859.2,32861.7,32863.8,32866.3,32862.8,32865.3,,,,,8
2023-03-08 07:27:00,32861.2,32863.2,32860.2,32863.2,32864.8,32866.8,32863.8,32866.8,,,,,3
2023-03-08 07:28:00,32862.7,32862.7,32860.2,32861.7,32866.3,32866.3,32863.8,32865.3,,,,,3
2023-03-08 07:29:00,32861.2,32862.7,32857.7,32857.7,32864.8,32866.3,32861.3,32861.3,,,,,14
2023-03-08 07:30:00,32857.2,32858.2,32850.2,32850.2,32860.8,32861.8,32853.8,32853.8,,,,,22
2023-03-08 07:31:00,32849.2,32850.7,32847.2,32849.2,32852.8,32854.3,32850.8,32852.8,,,,,15
2023-03-08 07:32:00,32849.7,32851.7,32847.2,32848.7,32853.3,32855.3,32850.8,32852.3,,,,,21
2023-03-08 07:33:00,32848.2,32849.2,32846.2,32847.7,32851.8,32852.8,32849.8,32851.3,,,,,9
2023-03-08 07:34:00,32847.2,32851.7,32845.7,32850.7,32850.8,32855.3,32849.3,32854.3,,,,,23
2023-03-08 07:35:00,32851.2,32859.7,32851.2,32859.7,32854.8,32863.3,32854.8,32863.3,,,,,11
2023-03-08 07:36:00,32860.2,32862.7,32860.2,32861.7,32863.8,32866.3,32863.8,32865.3,,,,,16
2023-03-08 07:37:00,32861.2,32863.2,32859.2,32862.7,32864.8,32866.8,32862.8,32866.3,,,,,12
2023-03-08 07:38:00,32862.2,32866.7,32861.7,32865.7,32865.8,32870.3,32865.3,32869.3,,,,,20
2023-03-08 07:39:00,32866.2,32867.2,32864.7,32865.7,32869.8,32870.8,32868.3,32869.3,,,,,15
2023-03-08 07:40:00,32866.2,32866.2,32863.2,32864.7,32869.8,32869.8,32866.8,32868.3,,,,,18
