,bid,bid,bid,bid,ask,ask,ask,ask,last,last,last,last,last
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Volume
DateTime,,,,,,,,,,,,,
2023-03-03 21:24:00,33396.1,33399.1,33396.1,33398.6,33400.9,33403.9,33400.9,33403.4,,,,,20
2023-03-03 21:25:00,33398.1,33398.6,33397.1,33397.6,33402.9,33403.4,33401.9,33402.4,,,,,9
2023-03-03 21:26:00,33397.1,33404.6,33396.6,33404.6,33401.9,33409.4,33401.4,33409.4,,,,,23
2023-03-03 21:27:00,33404.1,33407.6,33401.1,33403.6,33408.9,33412.4,33405.9,33408.4,,,,,51
2023-03-03 21:28:00,33403.1,33403.1,33397.6,33398.6,33407.9,33407.9,33402.4,33403.4,,,,,24
2023-03-03 21:29:00,33398.1,33401.1,33397.6,33399.6,33402.9,33405.9,33402.4,33404.4,,,,,23
2023-03-03 21:30:00,33399.1,33400.6,33398.1,33398.6,33403.9,33405.4,33402.9,33403.4,,,,,27
2023-03-03 21:31:00,33398.1,33402.1,33398.1,33401.6,33402.9,33406.9,33402.9,33406.4,,,,,32
2023-03-03 21:32:00,33401.1,33402.6,33400.6,33400.6,33405.9,33407.4,33405.4,33405.4,,,,,18
2023-03-03 21:33:00,33399.1,33400.6,33397.1,33397.1,33403.9,33405.4,33401.9,33401.9,,,,,46
2023-03-03 21:34:00,33397.6,33400.6,33397.6,33399.6,33402.4,33405.4,33402.4,33404.4,,,,,20
2023-03-03 21:35:00,33400.1,33401.6,33400.1,33401.6,33404.9,33406.4,33404.9,33406.4,,,,,4
2023-03-03 21:36:00,33401.1,33404.1,33400.6,33400.6,33405.9,33408.9,33405.4,33405.4,,,,,24
2023-03-03 21:37:00,33400.1,33401.1,33399.6,33400.6,33404.9,33405.9,33404.4,33405.4,,,,,10
2023-03-03 21:38:00,33400.1,33402.6,33400.1,33402.6,33404.9,33407.4,33404.9,33407.4,,,,,15
2023-03-03 21:39:00,33402.1,33403.6,33401.6,33403.1,33406.9,33408.4,33406.4,33407.9,,,,,12
2023-03-03 21:40:00,33402.6,33402.6,33402.1,33402.6,33407.4,33407.4,33406.9,33407.4,,,,,2
2023-03-03 21:41:00,33402.1,33403.1,33401.6,33403.1,33406.9,33407.9,33406.4,33407.9,,,,,5
2023-03-03 21:42:00,33402.6,33402.6,33400.6,33401.6,33407.4,33407.4,33405.4,33406.4,,,,,7
2023-03-03 21:43:00,33402.1,33402.1,33400.6,33400.6,33406.9,33406.9,33405.4,33405.4,,,,,6
2023-03-03 21:44:00,33401.1,33401.1,33395.6,33396.6,33405.9,33405.9,33400.4,33401.4,,,,,48
2023-03-03 21:45:00,33397.1,33399.6,33395.1,33399.6,33401.9,33404.4,33399.9,33404.4,,,,,151
2023-03-03 21:46:00,33399.1,33399.1,33397.6,33398.6,33403.9,33403.9,33402.4,33403.4,,,,,32
2023-03-03 21:47:00,33398.1,33399.6,33397.1,33399.6,33402.9,33404.4,33401.9,33404.4,,,,,20
2023-03-03 21:48:00,33400.6,33403.6,33400.6,33403.6,33405.4,33408.4,33405.4,33408.4,,,,,21
2023-03-03 21:49:00,33404.1,33404.1,33399.1,33403.6,33408.9,33408.9,33403.9,33408.4,,,,,27
2023-03-03 21:50:00,33403.1,33404.6,33403.1,33404.6,33407.9,33409.4,33407.9,33409.4,,,,,9
2023-03-03 21:51:00,33405.1,33405.1,33400.1,33400.1,33409.9,33409.9,33404.9,33404.9,,,,,30
2023-03-03 21:52:00,33400.6,33400.6,33400.1,33400.1,33405.4,33405.4,33404.9,33404.9,,,,,3
2023-03-03 21:53:00,33399.6,33399.6,33395.1,33395.1,33404.4,33404.4,33399.9,33399.9,,,,,18
2023-03-03 21:54:00,33394.6,33397.6,33394.1,33394.6,33399.4,33402.4,33398.9,33399.4,,,,,44
2023-03-03 21:55:00,33395.1,33395.6,33391.6,33393.6,33399.9,33400.4,33396.4,33398.4,,,,,66
2023-03-03 21:56:00,33393.1,33393.1,33392.1,33393.1,33397.9,33397.9,33396.9,33397.9,,,,,9
2023-03-03 21:57:00,33393.6,33397.1,33393.6,33397.1,33398.4,33401.9,33398.4,33401.9,,,,,7
2023-03-03 21:58:00,33397.6,33398.6,33388.1,33388.1,33402.4,33403.4,33392.9,33392.9,,,,,170
2023-03-03 21:59:00,33388.6,33398.1,33387.1,33395.0,33393.4,33406.4,33391.9,33404.8,,,,,17
2023-03-05 23:00:00,33359.6,33360.6,33346.6,33346.6,33364.4,33365.4,33351.4,33351.4,,,,,92
2023-03-05 23:01:00,33347.1,33352.6,33340.1,33342.1,33351.9,33357.4,33344.9,33346.9,,,,,110
2023-03-05 23:02:00,33342.6,33346.1,33338.1,33343.6,33347.4,33350.9,33342.9,33348.4,,,,,69
2023-03-05 23:03:00,33341.6,33343.6,33339.6,33341.1,33346.4,33348.4,33344.4,33345.9,,,,,34
2023-03-05 23:04:00,33340.6,33343.1,33338.6,33343.1,33345.4,33347.9,33343.4,33347.9,,,,,23
2023-03-05 23:05:00,33343.6,33347.1,33342.1,33346.6,33348.4,33351.9,33346.9,33351.4,,,,,26
2023-03-05 23:06:00,33346.1,33346.6,33342.1,33342.1,33350.9,33351.4,33346.9,33346.9,,,,,21
2023-03-05 23:07:00,33343.1,33345.6,33342.6,33343.6,33347.9,33350.4,33347.4,33348.4,,,,,25
2023-03-05 23:08:00,33343.1,33347.6,33341.1,33341.6,33347.9,33352.4,33345.9,33346.4,,,,,46
2023-03-05 23:09:00,33342.1,33349.6,33342.1,33345.1,33346.9,33354.4,33346.9,33349.9,,,,,42
2023-03-05 23:10:00,33345.6,33347.6,33333.1,33338.6,33350.4,33352.4,33337.9,33343.4,,,,,143
2023-03-05 23:11:00,33339.1,33348.6,33338.6,33347.1,33343.9,33353.4,33343.4,33351.9,,,,,55
2023-03-05 23:12:00,33347.6,33348.6,33345.6,33346.6,33352.4,33353.4,33350.4,33351.4,,,,,9
2023-03-05 23:13:00,33348.6,33354.6,33347.1,33354.6,33353.4,33359.4,33351.9,33359.4,,,,,39
