DateTime,bid-open,bid-high,bid-low,bid-close,ask-open,ask-high,ask-low,ask-close,Volume
2023-01-05 12:00:00,33266.0,33308.0,33228.5,33231.0,33269.6,33311.6,33232.1,33234.6,2598
2023-01-05 13:00:00,33231.5,33264.0,33056.5,33085.0,33235.1,33267.6,33060.1,33088.6,10323
2023-01-05 14:00:00,33086.0,33096.6,32834.6,32907.6,33089.6,33099.0,32837.0,32910.0,28300
2023-01-05 15:00:00,32908.1,33053.6,32866.1,32881.9,32910.5,33056.0,32868.5,32884.3,31069
2023-01-05 16:00:00,32881.4,32934.9,32805.4,32846.4,32883.8,32937.3,32807.8,32848.8,15783
2023-01-05 17:00:00,32846.9,32948.9,32842.9,32886.8,32849.3,32951.3,32845.3,32889.2,10558
2023-01-05 18:00:00,32887.3,33036.8,32847.8,32977.3,32889.7,33039.2,32850.2,32979.7,18256
2023-01-05 19:00:00,32979.8,33083.8,32942.8,33027.3,32982.2,33086.2,32945.2,33029.7,12814
2023-01-05 20:00:00,33027.8,33028.3,32890.6,32924.1,33030.2,33030.7,32893.0,32926.5,19712
2023-01-05 21:00:00,32922.9,32954.9,32913.4,32943.2,32927.7,32959.7,32918.2,32953.0,2928
2023-01-05 22:00:00,32940.1,32954.2,32930.5,32950.6,32949.9,32964.0,32940.3,32960.4,0
2023-01-05 23:00:00,32940.4,32977.4,32930.9,32959.4,32945.2,32982.2,32935.7,32964.2,796
2023-01-06 00:00:00,32958.4,32994.4,32957.9,32991.9,32963.2,32999.2,32962.7,32996.7,913
2023-01-06 01:00:00,32992.4,33030.4,32985.4,33027.9,32997.2,33035.2,32990.2,33032.7,1013
2023-01-06 02:00:00,33028.4,33042.9,33025.4,33038.4,33033.2,33047.7,33030.2,33043.2,942
2023-01-06 03:00:00,33038.9,33068.4,33035.9,33049.4,33043.7,33073.2,33040.7,33054.2,968
2023-01-06 04:00:00,33049.9,33067.9,33038.9,33054.4,33054.7,33072.7,33043.7,33059.2,528
2023-01-06 05:00:00,33054.9,33055.4,33009.4,33019.4,33059.7,33060.2,33014.2,33024.2,927
2023-01-06 06:00:00,33020.4,33036.9,33011.4,33020.4,33025.2,33041.7,33016.2,33025.2,874
2023-01-06 07:00:00,33021.0,33051.5,32951.5,32952.0,33024.6,33055.1,32955.1,32955.6,1518
2023-01-06 08:00:00,32953.0,32986.0,32933.5,32978.5,32956.6,32989.6,32937.1,32982.1,2093
2023-01-06 09:00:00,32977.5,32980.5,32910.0,32946.5,32981.1,32984.1,32913.6,32950.1,2360
2023-01-06 10:00:00,32946.0,32973.5,32921.0,32943.5,32949.6,32977.1,32924.6,32947.1,1525
2023-01-06 11:00:00,32943.0,32997.0,32939.5,32967.0,32946.6,33000.6,32943.1,32970.6,1707
2023-01-06 12:00:00,32967.5,32986.0,32935.5,32939.5,32971.1,32989.6,32939.1,32943.1,2133
2023-01-06 13:00:00,32940.0,33311.0,32895.0,33292.5,32943.6,33314.6,32898.6,33296.1,27554
2023-01-06 14:00:00,33290.5,33358.6,32989.1,33085.6,33294.1,33361.0,32991.5,33088.0,47934
2023-01-06 15:00:00,33126.1,33469.0,33112.6,33446.5,33128.5,33471.4,33115.0,33448.9,48013
2023-01-06 16:00:00,33448.0,33567.5,33438.5,33535.5,33450.4,33569.9,33440.9,33537.9,26435
2023-01-06 17:00:00,33535.0,33552.5,33430.0,33457.0,33537.4,33554.9,33432.4,33459.4,12663
2023-01-06 18:00:00,33457.5,33537.5,33435.5,33518.0,33459.9,33539.9,33437.9,33520.4,10378
2023-01-06 19:00:00,33517.5,33672.5,33517.5,33660.5,33519.9,33674.9,33519.9,33662.9,16794
2023-01-06 20:00:00,33661.0,33721.0,33602.6,33620.6,33663.4,33723.4,33605.0,33623.0,23049
2023-01-06 21:00:00,33616.3,33629.6,33595.6,33605.2,33618.7,33634.4,33600.4,33615.0,3910
2023-01-08 23:00:00,33661.1,33675.6,33628.1,33662.1,33665.9,33680.4,33632.9,33666.9,1702
2023-01-09 00:00:00,33661.6,33694.6,33643.6,33690.1,33666.4,33699.4,33648.4,33694.9,1007
2023-01-09 01:00:00,33689.6,33698.1,33657.6,33660.6,33694.4,33702.9,33662.4,33665.4,987
